TotalTrials,TrialTime,MinJitter,MaxJitter,JitterSeconds,TrialSeconds,JitterMinutes,TrialMinutes,TotalSeconds,TotalMinutes
128,17,0,2,351.725933824342,2176,5.86209889707237,36.2666666666667,2527.72593382434,42.128765563739
128,16,0.333333333333333,2,483.962437921292,2048,8.06604063202153,34.1333333333333,2531.96243792129,42.1993739653549
128,16,0.166666666666667,3,506.678224853574,2048,8.4446370808929,34.1333333333333,2554.67822485357,42.5779704142262
128,17,0.0833333333333333,2,385.420484478771,2176,6.42367474131285,36.2666666666667,2561.42048447877,42.6903414079795
128,16,0.416666666666667,2,515.921836429126,2048,8.59869727381877,34.1333333333333,2563.92183642913,42.7320306071521
128,16,0.25,3,543.842423197128,2048,9.06404038661881,34.1333333333333,2591.84242319713,43.1973737199521
128,17,0.166666666666667,2,418.69963462194,2176,6.978327243699,36.2666666666667,2594.69963462194,43.2449939103657
128,17,0,3,431.520210189431,2176,7.19200350315718,36.2666666666667,2607.52021018943,43.4586701698239
128,17,0.25,2,451.551025173629,2176,7.52585041956048,36.2666666666667,2627.55102517363,43.7925170862272
128,16,0.333333333333333,3,580.714614127463,2048,9.67857690212438,34.1333333333333,2628.71461412746,43.8119102354577
128,17,0.0833333333333333,3,469.233674825723,2176,7.82056124709538,36.2666666666667,2645.23367482572,44.087227913762
128,18,0,2,351.725933824342,2304,5.86209889707237,38.4,2655.72593382434,44.2620988970724
128,17,0.333333333333333,2,483.962437921292,2176,8.06604063202153,36.2666666666667,2659.96243792129,44.3327072986882
128,16,0.416666666666667,3,617.28294215469,2048,10.2880490359115,34.1333333333333,2665.28294215469,44.4213823692448
128,17,0.166666666666667,3,506.678224853574,2176,8.4446370808929,36.2666666666667,2682.67822485357,44.7113037475596
128,18,0.0833333333333333,2,385.420484478771,2304,6.42367474131285,38.4,2689.42048447877,44.8236747413128
128,17,0.416666666666667,2,515.921836429126,2176,8.59869727381877,36.2666666666667,2691.92183642913,44.8653639404854
144,16,0,2,395.691675552385,2304,6.59486125920642,38.4,2699.69167555239,44.9948612592064
128,17,0.25,3,543.842423197128,2176,9.06404038661881,36.2666666666667,2719.84242319713,45.3307070532855
128,18,0.166666666666667,2,418.69963462194,2304,6.978327243699,38.4,2722.69963462194,45.378327243699
128,18,0,3,431.520210189431,2304,7.19200350315718,38.4,2735.52021018943,45.5920035031572
144,16,0.0833333333333333,2,433.598045038618,2304,7.22663408397696,38.4,2737.59804503862,45.626634083977
128,18,0.25,2,451.551025173629,2304,7.52585041956048,38.4,2755.55102517363,45.9258504195605
128,17,0.333333333333333,3,580.714614127463,2176,9.67857690212438,36.2666666666667,2756.71461412746,45.945243568791
