Run,Trial,Condition,Onset,Duration,ISI,Context,Emotion,Order,ContextFile,FaceFile,FaceNum,Gender
1,63,5,500.7451,5,3.7388,Unpleasant,Happy,1,9185.jpg,35M_H.png,35,Male
1,64,6,509.4839,5,2.5118,Unpleasant,Neutral,1,2301.jpg,37M_N.png,37,Male
1,65,5,516.9957,5,3.1595,Unpleasant,Happy,1,9452.jpg,19F_H.png,19,Female
1,66,4,525.1552,5,2.9081,Unpleasant,Fearful,1,9590.jpg,17F_F.png,17,Female
1,67,2,533.0634,5,4.7272,Pleasant,Fearful,1,2050.jpg,24M_F.png,24,Male
1,68,3,542.7906,5,3.2823,Pleasant,Neutral,1,5760.jpg,29M_N.png,29,Male
1,69,6,551.0729,5,3.787,Unpleasant,Neutral,1,6571.jpg,01F_N.png,01,Female
1,70,4,559.8598,5,2.4226,Unpleasant,Fearful,1,9905.jpg,09F_F.png,09,Female
1,71,2,567.2824,5,2.2625,Pleasant,Fearful,1,5811.jpg,16F_N.png,16,Female
1,72,1,574.545,5,10,Pleasant,Happy,1,2311.jpg,23M_H.png,23,Male
2,1,1,10,5,3.6536,Pleasant,Happy,1,5836.jpg,17F_H.png,17,Female
2,2,2,18.6536,5,2.5118,Pleasant,Fearful,1,2050.jpg,28M_F.png,28,Male
2,3,6,26.1654,5,3.304,Unpleasant,Neutral,1,2456.jpg,42M_N.png,42,Male
2,4,3,34.4693,5,2.3029,Pleasant,Neutral,1,5551.jpg,13F_N.png,13,Female
2,5,5,41.7723,5,2.2784,Unpleasant,Happy,1,9832.jpg,01F_H.png,01,Female
2,6,1,49.0506,5,2.7687,Pleasant,Happy,1,7480.jpg,10F_H.png,10,Female
2,7,4,56.8193,5,2.755,Unpleasant,Fearful,1,9905.jpg,32M_F.png,32,Male
2,8,2,64.5743,5,2.8888,Pleasant,Fearful,1,2080.jpg,27M_F.png,27,Male
2,9,1,72.4631,5,2.6371000000000002,Pleasant,Happy,1,2304.jpg,41M_H.png,41,Male
2,10,3,80.1002,5,4.1687,Pleasant,Neutral,1,1920.jpg,23M_N.png,23,Male
2,11,6,89.2689,5,3.6627,Unpleasant,Neutral,1,9590.jpg,07F_N.png,07,Female
2,12,5,97.9316,5,3.9648,Unpleasant,Happy,1,2345.1.jpg,37M_H.png,37,Male
2,13,4,106.8964,5,2.4505,Unpleasant,Fearful,1,2703.jpg,38M_F.png,38,Male
2,14,3,114.3469,5,3.1595,Pleasant,Neutral,1,8496.jpg,32M_N.png,32,Male
2,15,6,122.5065,5,4.4816,Unpleasant,Neutral,1,9520.jpg,01F_N.png,01,Female
2,16,2,131.988,5,3.455,Pleasant,Fearful,1,8420.jpg,07F_F.png,07,Female
2,17,5,140.443,5,3.9509,Unpleasant,Happy,1,9220.jpg,25M_H.png,25,Male
2,18,4,149.3939,5,2.7908,Unpleasant,Fearful,1,9419.jpg,18F_F.png,18,Female
2,19,1,157.1848,5,3.2419,Pleasant,Happy,1,2311.jpg,36M_H.png,36,Male
2,20,6,165.4267,5,2.1592,Unpleasant,Neutral,1,9290.jpg,29M_N.png,29,Male
2,21,2,172.586,5,2.0376,Pleasant,Fearful,1,2341.jpg,36M_F.png,36,Male
2,22,5,179.6235,5,2.0233,Unpleasant,Happy,1,9342.jpg,38M_H.png,38,Male
2,23,3,186.6468,5,2.4732,Pleasant,Neutral,1,2314.jpg,34M_N.png,34,Male
2,24,3,194.12,5,2.6722,Pleasant,Neutral,1,8380.jpg,06F_N.png,06,Female
2,25,4,201.7922,5,2.0797,Unpleasant,Fearful,1,9491.jpg,12F_F.png,12,Female
2,26,5,208.8719,5,2.8597,Unpleasant,Happy,1,2301.jpg,21M_H.png,21,Male
2,27,6,216.7316,5,3.5923,Unpleasant,Neutral,1,2900.jpg,40M_N.png,40,Male
2,28,4,225.3239,5,2.6297,Unpleasant,Fearful,1,2053.jpg,13F_F.png,13,Female
2,29,1,232.9536,5,2.2555,Pleasant,Happy,1,4622.jpg,07F_H.png,07,Female
2,30,5,240.2092,5,2.7144,Unpleasant,Happy,1,6311.jpg,35M_H.png,35,Male
2,31,2,247.9236,5,4.2029,Pleasant,Fearful,1,2398.jpg,31M_F.png,31,Male
2,32,3,257.1265,5,4.0512,Pleasant,Neutral,1,5811.jpg,12F_N.png,12,Female
2,33,4,266.1777,5,2.6685,Unpleasant,Fearful,1,2205.jpg,10F_F.png,10,Female
2,34,1,273.8463,5,2.9489,Pleasant,Happy,1,1604.jpg,23M_H.png,23,Male
2,35,2,281.7952,5,2.2518,Pleasant,Fearful,1,1441.jpg,24M_F.png,24,Male
2,36,3,289.0469,5,2.079,Pleasant,Neutral,1,1460.jpg,16F_N.png,16,Female
2,37,4,296.126,5,3.2089,Unpleasant,Fearful,1,3230.jpg,08F_F.png,08,Female
2,38,6,304.3348,5,3.7016,Unpleasant,Neutral,1,9007.jpg,37M_N.png,37,Male
2,39,5,313.0365,5,2.5252,Unpleasant,Happy,1,9145.jpg,19F_H.png,19,Female
2,40,1,320.5617,5,2.1362,Pleasant,Happy,1,5829.jpg,06F_H.png,06,Female
2,41,1,327.6979,5,2.2518,Pleasant,Happy,1,5831.jpg,14F_H.png,14,Female
